episode,username,comment,quoted_user,quoted_text,join_date,post_num
Ep14,joshlill,"
No they did not at all. Happy clappers like you are why we get this shit",blank,blank said:Holy shit they did it... redeemed themselves with the ending,Mar-24,78.0
Ep7,shotbychuka,"
Same here. I can’t get enough of it!",a0i-kun,a0i-kun said:i’ve rewatched nagi’s goal like 10 times. it’s so sick,Nov-23,7.0
Ep14,Royalty459,"
Thank you for this. We need to start praising these animators more because they deserve it.",M-T_S,"M-T_S said:@AJ_JODAJ_JOD said:8bit literally animated Rin [Berserker mode aka his flow] vs Itoshi Sae that great ,i literallly forgot all my complaints related to Animations[Powerpoint presentations, poor cgi etc ] ...just credit the animator!!He had to draw 80 cuts on top of storyboarding that part of the episodehttps://x.com/pe_po_po/status/1873041504354353571?t=GlW7LWz_92Lmt0Kwa_F2Wg&s=19The Animator^ & one of SB of today's ep",Nov-18,169.0
Ep1,Tanmay_Sharma,"
That’s what I’m saying bro 😭

The people complaining are overhyped and spoiled with their demon slayer ahh animation.

This season looks exactly like the first season (and while the cgi stuff is not great, it makes sense with the limited time that animators had to make this)",GodSherick,GodSherick said:I honestly do not see people’s complaints about animation for this first episode. Yes from the trailers I understand but this was a great showing from the first episode. It looked like classic blue lock to me.,Feb-23,5.0
Ep12,Volts71,"
There was one of the earlier episodes in which isagi and bachira's moms were discussing about soccer and one of them mentioned "" I still don't understand what offside is "" while the other replied with "" me neither "" but I guess the manga writer never considered putting it in the games to begin with.",gauravb28,gauravb28 said:I suppose there is no such thing as offside in blue lock verse. The pass from sae to Shidou was clear offside.I don't even have hopes from manga at this point. The story and characters are even worse than the animation.,Sep-20,217.0
Ep10,eleanorenchanted,"
They were in full in-law mode",Nerdason,"Nerdason said:God forgive me, but...",Mar-20,36.0
Ep2,Dan_ALves,"
This part of the story isn't part of the u20 arc?",AyaazMahim,"AyaazMahim said:Chigiri sequence was my favorite that's it the episode man lol there literally wasn't any animation IT'S A LITERAL PNG SLIDESHOW, feels like a a motion manga one of those edits but with voice. Still in some department this season is better than the last like overall drawing quality, the compositing vfx which at times can be bit too much and the usage CGI seems to be a lot better this season. This episode gave me second hand embarrassment where I was trying to defend this season animation... hopefully when U20 match starts it will have ACTUAL ANIMATION.",May-22,1132.0
Ep1,Ricky16,"
What the heck did I just witness.",phantomfandom,"phantomfandom said:You know, I watch episode Nagi in cinema, and while I think it's not a good movie, it's at least can be a good recap, so just in case someone want a good reminder about who is who then I suggest watching the movie instead.Now back to this episode, I'm one of the rare type of audience who's actually looking forward to additional time, yes, I want to know which guy is sleeping in the same room as which guy, and I get want I want. So I'm gonna say this episode does satisfy me.",Aug-22,1766.0
Ep1,Confused_100,"
Wow saying an opinion is bad, btw where did I contradict myself lol",Sheol01,Sheol01 said:@Confused_100That is almost an oxymoron. Definitely not something that really exists.,Feb-23,1243.0
Ep2,FrenziedIvan,"
Yeah, I was so hyped for this season that I ended up soo disappointed with this episode. I just hope they’re saving the good animation for the match against the U-20.",Smudy,"Smudy said:I didn't just imagine this, right? The soccer match is really just slideshows holy shit",Aug-24,2.0
Ep2,Musashi_Arun,"
Yes.I am guessing they saved the budget for the actual u20 match.Hope to see good animation in that match",Pre_Yum,"Pre_Yum said:Oh boy... Isagi can't do anything in this game so far. Everyone's outshining him in one way or another and he can't seem to get past these top players. They're far behind his reach so far. But, it seems like there might be some hope for him, using Rin and Shidou in his favor going forward.By the way, the two kids on Isagi's team are so sweet. I like them both. Completely different than what Isagi is used to. LOL. Also, Chigiri was amazing during his time that even his top teammates were impressed by him. Very limited animation wise, sadly.",Oct-20,207.0
Ep1,Confused_100,"
You really have toxic positivity dude lol",thebrentinator24,"thebrentinator24 said:While everyone is already complaining about the animation (classic MAL 🚬🐤), I'm going to hold off on giving my opinion until I actually see a soccer match. Not really much to go off with this episode since it was pretty much just talking, setup, and a lot of close up shots of the characters.Still, it's nice to have Blue Lock back, as I actually do enjoy this show despite the shortcomings of 8bit's animation. I was hoping to see Isagi as part of the top 6, or even in that runner-up 7th spot, but yea he does still have a lot of room for improvement before he can rank that high. Overall it was a decent return for the series, as we see a lot of familiar faces again along with some new ones.",Feb-23,1243.0
Ep11,OrderInTheCourt,"
do you think achieving in a flow state in real life is also easy? also yes it exists in real life. to achieve a flow state your mind and body must meet a specific criteria where youre in a specific scenario. What this u-20 was building up for our mc here is finding his 'flow'. if isagi were constantly going to flow here then what was the buildup and hype for? trust me isagi s goal in the manga was shit intense. so just shut up and wait for it, the animation and art was insane this episode, they're putting actual animation in goals not movement. though does it really matter? why are you so hyperfocused on the cons? always complaining, pisses me off.",Softhenic03,"Softhenic03 said:Like I’ve said this so many times, but the amount of talking Isagi does inside his head doesn’t equate to even one percent of what he actually ends up doing on the field. Dude is spamming non-stop how he will score the goal, but yeah, when will that be? Anyway, usual complaining with the animation aside, because at this point it’s plain useless, that biology of birth from Shidou was just as dumb as his orgasm when he scored the second goal with those pink ass feathers or whatever lol. Like what the hell was that entire bit lmaoooo.Goal was dope btw. Though again, people like Shidou are achieving flow and then there is this bum Isagi, saying shit like he should’ve done that or done this. Dude nobody is stopping you, so pls do. Though can’t disagree that it was his words which led Ego sub Barou in. The ultimate edgelord who lacks every sort of vocabulary. Still though, if blue lock wants to comeback in this match, only this guy can help them do so with his uber selfish play.",Sep-22,60.0
Ep3,levibigass,"
fed up of this excuse man",AmirKazeXD,AmirKazeXD said:@levibigassWe can just hope they are saving for the U-20 arc.,Jan-22,278.0
Ep4,Trey21,"
honestly at this point lol",Gekko_ua,Gekko_ua said:Another great episode with eyes closed!,Jun-22,1.0
Ep2,NegativeRei,"
let's just hope they saved the budget for the U20 match",Power_csm,Power_csm said:@ZeroMeitantei i don’t know man.I think maybe it’s cause the change of director.Last season was great compared to this new garbage episode.Thank god I read the manga,Sep-24,399.0
Ep14,OrderInTheCourt,"
put some respect to the animators and instead of hating on the anime hate on the directors instead who set the animators on a strict schedule.",IzanaSolos,"IzanaSolos said:Always remember, this is a sports manga. So please explain to me WHAT THE FUCK IS GOING ON??? We got this dude DROOLING ON THE FUCKING FIELD WITH HIS TONGUE OUT... bro. This show man... and this studio had the FUCKING NERVE TO PUT THE LICKING SOUND EFFECTS WHEN HE CAME FACE-TO-FACE WITH OLIVER... LIKE HELLO???But yeah, again, we in a shounen, so Rin whipping his tongue out and drooling all over the field is all that it takes to make him untouchable... unless THIS DUDE SHIDOU JUST FOULS HIM???? But even with that foul, Rin LOCKS THE FUCK IN... and misses the shot and passes it straight to Sae... LMAOOOOOOOOOOO. Though, I gotta hand it to them, only a second into the second half of the episode AND GOD THEY MOVED... IN 2D??? NOT CGI??? HELLO???And that kagenashi style part with Rin vs. Sae... god. 8bit man WHY COULDN'T YOU COOK LIKE THIS ALL SEASON??? No dialogue, good animation, AND THE MC ACTUALLY DOES SOMETHING FOR ONCE??? NOW THIS IS A SPORTS MANGA. Was this payoff worth the tourment of the all the rest of the season? FUCK NO. I think in my head I remembered this arc to be better, but nah man. The constant talking was so tiring PLUS the  animation... what a blunder of a season man.But that post credit scene does get me scared. I mean, one, ANOTHER SEASON of this would be an embrassment PLUS, this next arc, well, isn't the best lmao.",Sep-22,60.0
Ep1,luvcalv,"
right? these guys are spoiled",GodSherick,GodSherick said:I honestly do not see people’s complaints about animation for this first episode. Yes from the trailers I understand but this was a great showing from the first episode. It looked like classic blue lock to me.,Nov-20,101.0
Ep9,yummy_W4ffle,"
the manga is better, but the adaptation for blue box and dandadan is just superior",Nisanto,Nisanto said:@yummy_W4fflethe u20 story is superior then both in my opinion.,Jul-24,201.0
Ep3,Avek_PT,"
the manga is super popular... they have the money.. is not a question of lack of popularity or sales... the animation is not good. season 1 was better 
I'm reading the manga.. i think people can complain if it's not on the standards we expected",SenpaiTM,"SenpaiTM said:It was okay. I can't understand ppl watching things they don't like. Just drop it.For me it is a 5-6/10. They obviously don't have the money for more animations, so it will not get better.",Aug-11,1.0
Ep14,chuajohn05,"
this last ep is literrally the best among this season. At least they cook this part fucking good",Nerdason,Nerdason said:Absolute Cinema ✋😦✋,Jun-13,23.0
Ep5,yummy_W4ffle,"
yeah not gonna lie it was okay, not a lot of action so the animation was not a big deal",EmilCioran,EmilCioran said:i think today's episode was well done,Jul-24,201.0
Ep10,Ronninn,"
yeah, do you notice the panning pngs still looked detailed but this episode not so much",THE_BigDingus,THE_BigDingus said:@RonninnDid they? I still see mostly CG & panning PNGs.,Jan-20,2255.0
Ep10,Khan_chan,"
yes great defence by Reo cool",Matchappie,Matchappie said:CHAMELEON DEFENSE!!!!,Apr-21,41.0
Ep9,yummy_W4ffle,"
you forgot dandadan and blue box my friend...",Nisanto,"Nisanto said:If they animated the whole season with animation level of the 1v1 , Then it would have been anime of the season",Jul-24,201.0
Ep14,M-T_S,"
*Hajime Nihari the animator",Rexnihilo,Rexnihilo said:8bit cooked,Dec-20,166.0
Ep14,M-T_S,"
Don't forgive them!! 
They were the reason why most of the animators work/season looked trash and were the reason why Hajime Nihari had to draw 80 cuts on top of drawing the storyboard for that section of the EP",MeCuMint,MeCuMint said:Forgive me for everything 8-bit,Dec-20,166.0
Ep4,adbeaver," 

Nagi is ranked 6 out of the top 6",yellowheartren,"yellowheartren said:""Nicely done, number 6""? What's he even talking about? That was just confusing.",Mar-15,1074.0
Ep3,AmirKazeXD," 

You described Record Of Ragnarok Season 1. 
At least they improved in the second season. ",thebrentinator24,"thebrentinator24 said:Imagine you're watching a cool fight in the anime adaptation of your favorite action manga, and it's just slideshow images with punching sound effects over it.",Feb-24,360.0
Ep12,Sheol01,"           Man, that Maid Cafe' thing was the BOMB! ROFLMAO",,,Jul-24,4111.0
Ep9,Sheol01,"         More action in the non-action episode! LOL. Damn, his Sister is hot. She outshines her mother.",,,Jul-24,4111.0
Ep11,Sheol01,"       Definitely an improvement, now can they keep this up?
       And what was with the weird sperm/ova procreation imagery? ROFLMAO",,,Jul-24,4111.0
Ep8,Sheol01,"       What happened in the 2nd half of the Episode? I dozed off. Seriously, I have a cold or mild Covid. This didn't really help.",,,Jul-24,4111.0
Ep14,__FK__," Last episode was the best one i got gossbumps
https://malsignature.com/?/view?username=__FK__&style=normal
my:<series name>
",,,Mar-21,213.0
Ep2,Carcox,"""""""animation""""""

",,,Apr-21,5.0
Ep14,AV_Kantoku,"""BLUE LOCK Boy""...




😅AV_KantokuDec 29, 2024 11:48 PMPowered by「アニソン」。

'anison' (ANIme SONg). 
RAW and NOT DILUTED (aka NOT REMIXED [there are exceptions]) 
AND NOT THE WESTERN/GAIJIN EMPHASIS ON OST/BGM, 
but...OPs, EDs, INsert Songs, & Character Songs! ",,,Mar-21,51.0
Ep4,DeonX,"""I can't satisfy you anymore Nagi"" nahhh what is this cuck aah dialogue from Reo? Do better man 😭😭😭

Reo had a nice awakening. It was better showcased than Isagi bruh.

Sae is gonna pick someone from Blue Lock ;)",,,Feb-21,23448.0
Ep14,LegendaryLizard,"""Luck"" *Insert fire emojis here.*",,,Feb-20,2.0
Ep7,neffst3r,"""Nice to meet you, Japan. I am... Nagi Seishiro.""

",,,Jan-19,426.0
Ep4,yellowheartren,"""Nicely done, number 6""? What's he even talking about? That was just confusing.
And uh... Lifestyle of the rich and famous again - ok, I'm sure everyone knows by now, even if they haven't seen EpiNagi. Can you stop rehashing poor Reo's life circumstances please? I swear, everything that's done to this guy, everything that's supposed to evoke sympathy, is just making me hate him more and more. Which is sad, because he used to seem like a fun, likeable character. It's like he's just getting pummeled into the bad meme MCR emo teen of yesteryear.
One of the longest episodes, and yet, not even the whole of it is spent on the game itself. When the first one was spread over two. But hey, at least we get instant flashbacks yet again... sigh.",,,Oct-09,775.0
Ep13,dragynfaerie,"""You won't even let me lose."" 
Never thought I'd ever see Rin and Barou have similar thoughts. It's ISAGI HUNTING SEASON!",,,Nov-12,2518.0
Ep3,deg,"""dont think just feel"" - bruce lee aka hiori

isagi finally awakens to the flow aka the zone 

animation is still a slideshow though lol",,,Jan-09,105938.0
Ep6,Jony_,"#BlueLock vs U-20 Japan

HOW MUCH FUCKING AURA THIS GAME GIVES. 🔥🔥🔥🔥🔥",,,Jul-13,572.0
Ep4,scorpioniclibra,"(i’ve seen what you did with that “ain’t the next game about to start” shot, fruity fruity)

Annnnnd my favourite blue lock members of the alphabet mafia Reo and Nagi are back to the forefront this episode <3 “I’m not good enough to satisfy you anymore, Nagi. Look at you having fun. [...] You’re not mine anymore, are you?” NOOOOOOOO STOOOOP

Ok they lost, oh well, at least Reo scored and kinda curbed his identity crisis. Also wait, who the fuck does Sae want to team up with?? Ok so i spoiled myself :) Also i liked the cocky but sly glasses guy
scorpioniclibraOct 26, 2024 1:08 PM",,,Jul-22,317.0
Ep2,yellowheartren,"+1 for the whole ""adding some particle effects ain't gonna make an animation"" pile of voices here. Like, I wouldn't have an issue with that but they should be additions, not replacements. That's just lazy.

Also +1 for the heavy rotation of the cast. Felt this in s1 already, but ofc now it's becoming a lot more obvious. Trying to get us to feel emotionally invested in characters, only for them to be uhh... locked off, so to say - it gets old quick and when the audience catches on, they'll just stop caring. And only to make way for newer and newer ""tourists"" (because how many of these are gonna remain eventually?), whose lack of background they're trying to make up for by making them flashier and flashier...in all the weirdest ways. It feels cheap. Especially when, in the meantime, all the insane amount of official merch makes it feel like the entire cast is maybe, what, 8 guys total. Ugh.

Plus, it kinda feels like the translators are trying a little too hard to come up with stuff and I'm not convinced all of that still feels natural.

Poor Aryu and Chigiri though. To be surrounded by such plebs. Pfft.",,,Oct-09,775.0
Ep6,betazephaniel,..... I mean I'll still watch but damn.... are you kidding me... even the approach from the tunnel was a slideshow?.. guess this anime adaptation is really cooked.,,,Jul-16,214.0
Ep2,EikeChisaki,.....................,,,Mar-21,3.0
Ep14,PastUchiha98,".....THIS BLUE LOCK REDEMPTION EPISODE WAS AN ABSOLUTE CINEMA FRR!! 🗣️🖐️\(^O^)/🖐️
Feel pain, think about pain, accept pain, know pain... Shinra Tensei!",,,Mar-17,150.0
Ep2,Xiao,"....Wow, I really have shit luck. Literally Tower of God S2 and Blue Lock S2 were the top 2 anime I was looking forward to all year long, and they both got the PowerPoint slide animation treatment. I thought the animation would maybe somewhat improve from the second half of S1, considering how successful S1 was in boosting manga sales and with the Episode Nagi movie, but nope....I'm not even gonna have expectations that the animation will improve in the U-20 match, though of course I hope I'll be proven wrong. Welp, even though the visuals also got a downgrade, at least that's still somewhat decent.

Well onto the episode itself - seeing a brief wholesome bonding moment between Isagi, Hiori, and Nanase was pretty great, considering how crass a majority of the other players are. But the rest of the match was basically watching Isagi yapping away with expositions while he's flailing around and failing to properly assert himself into the match. Not very enjoyable to watch, but guess we'll see what new idea Isagi came up with in the next episode.

✫anime list✫manga list",,"""As promised, all that you seek, all that we desire, is prepared up there. On top of the Tower.""",Apr-15,1590.0
Ep3,Lumoze,.png Lock from 8 frame studios strikes again,,,Sep-23,7.0
Ep4,P3RRY,"0 movement, drawings are okayish, but the animation is nonexistent. I really hope the U20 match is gonna look better than this ",,,Jun-14,1.0
Ep1,Real_Baonana,"1 episode with 0 action scene, i think its just for introducting new character and make a character development for some.",,,May-24,3.0
Ep14,Plutonium288,"1 good episode is not gonna save the season, as a manga reader I am infuriarated",,,Apr-21,4.0
Ep2,Tsuyo_Mika,"1st match is between Team A and Team B. Isagi Yoichi is in the 1st match itself. Chigiri is in his opponent team in the match.

Isagi finds it hard to make an impact in the match. He’s cornered by Karasu, and founds ignored. But then he finds a place he can fit in.",,,May-20,1203.0
Ep8,Jony_,"2-1 in favor of Blue Lock. 🔥

▫Although it seems that in the second half, Ryusei will come in to make his mess.",,,Jul-13,572.0
Ep2,Musashi_Arun,2/5 it was really bad,,,Oct-20,207.0
Ep10,yellowheartren,"2ND HARF, really?... come on, people.

CHIGIRI MY MAN 💔😭 And Ikki with that sacrifice, yeesh. You will be remembered. 😔

Shidou just. Coming. Right there. How is that not an instant red card. Pfft. Nagi casually making his bf blush, and then collars again... geez. What even is going on anymore. Ah well. At least Hiori's also there again.

Come to think of it though. U20 would be completely steamrolled if it wasn't for their... actually-not-team-members they pilfered from elsewhere. Exhibition match, my foot. Genuine question btw: why do we need the CGI legs/feet/cleats (let's face it, mostly cleats)?? Someone really seems to have a boner for them somewhere, but they just... really don't add anything to anything.

Isagi and Bachira moms in additional time continue to be perfect, even before they start discussing their boys- nudie buddies indeed. 🤣🤣🤣 Can we have actual footage of that pls.yellowheartrenDec 7, 2024 7:52 AM",,,Oct-09,775.0
Ep4,Musashi_Arun,3/10 ahh episode lol,,,Oct-20,207.0
Ep2,Baltheon,7 deadly frames have competittion now,,,Oct-16,1.0
